site_number,station_name,latitude,longitude,elevation,start_year,mean_front
59151,Coffs Harbour,-30.32,153.12,4,1943,1.87654320987654
60168,Port Macquarie,-31.43,152.87,4,1910,1.67543859649123
61078,Williamtown,-32.79,151.84,8,1942,7.31707317073171
61363,Scone,-32.03,150.83,221,1965,5.64406779661017
63005,Bathurst,-33.43,149.56,713,1910,3.57017543859649
65070,Dubbo,-32.22,148.58,284,1921,3.27184466019417
66214,Sydney,-33.86,151.2,43,1910,5.52631578947368
67105,Richmond (NSW),-33.6,150.78,19,1939,8.14117647058824
68072,Nowra,-34.95,150.54,109,1955,10.2463768115942
68151,Point Perpendicular,-35.09,150.8,85,1946,4.07692307692308
69018,Moruya Heads,-35.91,150.15,17,1910,4.70175438596491
70351,Canberra,-35.31,149.2,577,1913,4.72972972972973
72150,Wagga Wagga,-35.16,147.46,212,1910,5.20175438596491
72161,Cabramurra,-35.94,148.38,1482,1962,2.85483870967742
74258,Deniliquin,-35.56,144.95,94,1910,7.15789473684211
76031,Mildura,-34.24,142.09,50,1910,8.93859649122807
78015,Nhill,-36.31,141.65,139,1910,8.78070175438597
80023,Kerang,-35.72,143.92,82,1910,7.10526315789474
82039,Rutherglen,-36.1,146.51,175,1912,4.40178571428571
84016,Gabo Island,-37.57,149.92,15,1910,1.86842105263158
84145,Orbost,-37.69,148.47,63,1938,14.2093023255814
85072,Sale,-38.12,147.13,5,1910,8.57017543859649
85096,Wilsons Promontory,-39.13,146.42,95,1910,7.14035087719298
86338,Melbourne,-37.83,144.98,8,1910,13.7456140350877
87031,Laverton,-37.86,144.76,20,1943,11.8765432098765
90015,Cape Otway,-38.86,143.51,82,1910,11.4824561403509
91293,Low Head,-41.05,146.79,3,1910,0.0087719298245614
91311,Launceston Airport,-41.55,147.22,167,1910,1.35964912280702
92045,Larapuna (Eddystone Point),-40.99,148.35,20,1910,0.824561403508772
94029,Hobart,-42.89,147.33,51,1918,6.25471698113208
94198,Cape Bruny,-43.49,147.14,60,1923,5.78217821782178
94220,Grove,-42.98,147.08,65,1952,7.02777777777778
96003,Butlers Gorge,-42.28,146.28,667,1944,6.5125
